id,material_name,product_family,priority,target_application,reason_for_request,needed_parameters
195,Blackcurrant Anthocyanin 20 KG,Anthocyanin Natural Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
196,Calcium Chloride-25kg,Calcium Chloride-25kg,Urgent (No TDS in Family),Savory - Seasoning,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
197,Calcium Propionate China-25kg,Calcium Propionate,Urgent (No TDS in Family),Bakery - Yeast-Raised Anti-Mold Preservative,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
198,Calcium Propionate Macco-20kg,Calcium Propionate,Urgent (No TDS in Family),Bakery - Yeast-Raised Anti-Mold Preservative,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
199,Capsicum Oleoresin 1000,Capsicum Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Capsicum Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
200,Capsicum Oleoresin 1002,Capsicum Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Capsicum Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
201,Capsicum Oleoresin 1003,Capsicum Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Capsicum Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
202,"Capsicum Oleoresin 500,000 SHU",Capsicum Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Capsicum Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
203,Caramel (E150D),Caramel Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
204,Caramel liquid Type E150A 30KG,Caramel Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
205,Caramel Liquid Type E150D,Caramel Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
206,Caramel Liquid Type E150D 30KG,Caramel Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
207,Caramel Powder (E150D),Caramel Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
208,Caramel powder Type E150A 20KG,Caramel Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
209,Caramel powder Type E150c 20KG,Caramel Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
210,Caramel powder Type E150d 20KG,Caramel Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
211,Cardamom Oleoresin 1002,Cardamom Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Cardamom Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
212,Carmine WS 50 %,Carmine Natural Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
213,CARRAGEENAN CK-500,Carrageenan CK/M Series,Urgent (No TDS in Family),Savory & Meat - Gelling & Water Retention,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
214,Cellulose casing - 26E*84,Cellulose Casings,High (Commercial Variant),Savory - Processed Meat & Sausage Casings,Sibling (Cellulose casing - 23E*84) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
215,Cellulose casing - 21E*84,Cellulose Casings,High (Commercial Variant),Savory - Processed Meat & Sausage Casings,Sibling (Cellulose casing - 23E*84) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
216,Cellulose casing - 28E*84,Cellulose Casings,High (Commercial Variant),Savory - Processed Meat & Sausage Casings,Sibling (Cellulose casing - 23E*84) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
217,Chlorophyll,Chlorophyll Natural Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
218,Chlorophyll OS,Chlorophyll Natural Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
219,Chlorophyll WS 14 %,Chlorophyll Natural Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
220,Chlorophyll WS 20 %,Chlorophyll Natural Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
221,Citric Acid Anhydrous-25kg,Citric Acid,Urgent (No TDS in Family),Food Processing - Acidity Regulator & Buffer,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
222,Citric Acid Monohydrate,Citric Acid,Urgent (No TDS in Family),Bakery & Snacks - Margarines & Cake Emulsification,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
223,Cocoa Butter Substitute-local-25kg,Cocoa Powders & Fats,Urgent (No TDS in Family),Bakery & Snacks - Confectionery & Chocolate,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
224,Cocoa Powder G100-25kg,Cocoa Powders & Fats,Urgent (No TDS in Family),Bakery & Snacks - Confectionery & Chocolate,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
225,Cocoa Powder JB800-25kg,Cocoa Powders & Fats,Urgent (No TDS in Family),Bakery & Snacks - Confectionery & Chocolate,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
226,Cocoa Powder S9-25kg,Cocoa Powders & Fats,Urgent (No TDS in Family),Bakery & Snacks - Confectionery & Chocolate,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
227,Cocoa Powder SL60-25kg,Cocoa Powders & Fats,Urgent (No TDS in Family),Bakery & Snacks - Confectionery & Chocolate,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
228,Cocoa Powder SP70-25kg,Cocoa Powders & Fats,Urgent (No TDS in Family),Bakery & Snacks - Confectionery & Chocolate,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
229,Cocoa Powder V98-25kg,Cocoa Powders & Fats,Urgent (No TDS in Family),Bakery & Snacks - Confectionery & Chocolate,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
230,Curcumin WS 10 %,Curcumin Natural Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
231,Curcumin WS 15 %,Curcumin Natural Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
232,Curcumin WS 5 %,Curcumin Natural Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
233,Dairy anti foam,Dairy anti foam,Urgent (No TDS in Family),Savory - Seasoning,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
234,Dextrose Anhydrous-25kg,Dextrose,Urgent (No TDS in Family),Food Processing - Functional Bulking & Carrier,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
235,Dextrose Monohydrate-25kg,Dextrose,Urgent (No TDS in Family),Bakery & Snacks - Margarines & Cake Emulsification,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
236,Fish Collagen,Fish Collagen,Urgent (No TDS in Family),Savory & Nutrition - Protein Fortification & Emulsification,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
237,Frankfurte casing 24/84,Cellulose Casings,High (Commercial Variant),Savory - Processed Meat & Sausage Casings,Sibling (Cellulose casing - 23E*84) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
238,Garlic Oleoresin 1002,Garlic Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Garlic Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
239,Garlic Oleoresin 1003,Garlic Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Garlic Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
240,Garlic Oleoresin 1004,Garlic Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Garlic Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
241,Garlic Oleoresin 1005,Garlic Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Garlic Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
242,Garlic Oleoresin 50/50,Garlic Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Garlic Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
243,Garlic Oleoresin 60/40,Garlic Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Garlic Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
244,Guar gum - 5000 CPS,Guar Gum,Urgent (No TDS in Family),Dairy & Bakery - Water Binding & Texture,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
245,Guar gum - 6000 CPS,Guar Gum,Urgent (No TDS in Family),Dairy & Bakery - Water Binding & Texture,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
246,HAZELNUT PASTE,HAZELNUT PASTE,Urgent (No TDS in Family),Savory - Seasoning,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
247,HAZELNUT PASTE TYPE C,HAZELNUT PASTE TYPE C,Urgent (No TDS in Family),Savory - Seasoning,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
