family_id,product_family,has_variants,variant_count,commercial_codes_included,industry_level_1,category_level_2,application_level_3,required_lab_parameters,action_required
REQ-011,Chlorophyll Natural Color,Yes,4,#217 Chlorophyll; #218 Chlorophyll OS; #219 Chlorophyll WS 14 %; #220 Chlorophyll WS 20 %,Confectionery,Sugar Confectionery,Hard / Soft Candies,"Manufacturer Master TDS & Grade CoAs; Pigment Concentration % (5%, 10%, 14%, 20% WS/OS); Color intensity (E 1% 1cm); pH stability range; Light & oxidation stability; Heavy metals & residual solvent limits.",Request Manufacturer Master TDS & Batch CoAs covering all 4 listed grades
REQ-012,Citric Acid,Yes,2,#221 Citric Acid Anhydrous-25kg; #222 Citric Acid Monohydrate,Beverages,Carbonated Drinks,Cola / Carbonated Soft Drinks,"Manufacturer Master TDS & Grade CoAs; Chemical Purity % (min 99.5%); Water content (Anhydrous vs Monohydrate); Heavy metals (Pb, As, Hg); Clarity and color of solution; Food grade certificate.",Request Manufacturer Master TDS & Batch CoAs covering all 2 listed grades
REQ-013,Cocoa Powders & Fats,Yes,7,#223 Cocoa Butter Substitute-local-25kg; #224 Cocoa Powder G100-25kg; #225 Cocoa Powder JB800-25kg; #226 Cocoa Powder S9-25kg; #227 Cocoa Powder SL60-25kg; #228 Cocoa Powder SP70-25kg; #229 Cocoa Powder V98-25kg,Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings","Manufacturer Master TDS & Grade CoAs; Fat content % (10-12% standard vs alkalized G100, JB800, S9, SL60, SP70, V98); pH value; Fineness (min 99.5% through 200 mesh); Moisture (max 5%); Total Plate Count & Salmonella negative; Melting curve for Cocoa Butter Substitute.",Request Manufacturer Master TDS & Batch CoAs covering all 7 listed grades
REQ-014,Curcumin Natural Color,Yes,3,#230 Curcumin WS 10 %; #231 Curcumin WS 15 %; #232 Curcumin WS 5 %,Confectionery,Sugar Confectionery,Hard / Soft Candies,"Manufacturer Master TDS & Grade CoAs; Pigment Concentration % (5%, 10%, 14%, 20% WS/OS); Color intensity (E 1% 1cm); pH stability range; Light & oxidation stability; Heavy metals & residual solvent limits.",Request Manufacturer Master TDS & Batch CoAs covering all 3 listed grades
REQ-015,Dairy anti foam,No,1,#233 Dairy anti foam,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-016,Dextrose,Yes,2,#234 Dextrose Anhydrous-25kg; #235 Dextrose Monohydrate-25kg,Beverages,Instant Drinks & Clouding,Instant RTD Mixes & Cloudy Beverages,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 2 listed grades
REQ-017,Fish Collagen,No,1,#236 Fish Collagen,Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Plant-Based Nuggets",Manufacturer Master TDS & Grade CoAs; Crude Protein Content % (dry basis); Amino Acid profile; Bulk density; Water hydration capacity; Ash & moisture %; Heavy metals.,Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-018,Guar Gum,Yes,2,#244 Guar gum - 5000 CPS; #245 Guar gum - 6000 CPS,Dairy,Frozen Dairy,Ice Cream & Frozen Desserts,"Manufacturer Master TDS & Grade CoAs; Viscosity (1% in 1% KCl, mPa.s / CPS); Granulometry / Mesh size (80 vs 200 Mesh vs Clear/Transparent); Loss on drying; Heavy metals; Total plate count & E. coli negative.",Request Manufacturer Master TDS & Batch CoAs covering all 2 listed grades
REQ-019,HAZELNUT PASTE,No,1,#246 HAZELNUT PASTE,Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings","Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-020,HAZELNUT PASTE TYPE C,No,1,#247 HAZELNUT PASTE TYPE C,Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings","Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-021,Lactose-Imported-25kg,No,1,#248 Lactose-Imported-25kg,Beverages,Instant Drinks & Clouding,Instant RTD Mixes & Cloudy Beverages,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-022,Laurel Oleoresin,No,1,#249 Laurel Oleoresin 1001,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-023,Lemon cloud,No,1,#250 Lemon cloud,Beverages,Instant Drinks & Clouding,Instant RTD Mixes & Cloudy Beverages,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-024,Liquid Smoke,No,1,#251 Liquid Smoke,Meat & Poultry,Processed Meat,Emulsified Sausages & Restructured Meat,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-025,Locust Bean Gum,No,1,#252 Locust Bean Gum,Dairy,Frozen Dairy,Ice Cream & Frozen Desserts,"Manufacturer Master TDS & Grade CoAs; Viscosity (1% in 1% KCl, mPa.s / CPS); Granulometry / Mesh size (80 vs 200 Mesh vs Clear/Transparent); Loss on drying; Heavy metals; Total plate count & E. coli negative.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-026,L-Tartaric Acid China-25kg,No,1,#253 L-Tartaric Acid China-25kg,Beverages,Carbonated Drinks,Cola / Carbonated Soft Drinks,"Manufacturer Master TDS & Grade CoAs; Chemical Purity % (min 99.5%); Water content (Anhydrous vs Monohydrate); Heavy metals (Pb, As, Hg); Clarity and color of solution; Food grade certificate.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-027,Lutein Natural Color,Yes,2,#254 Lutein WS 10%; #255 Lutein WS 5%,Confectionery,Sugar Confectionery,Hard / Soft Candies,"Manufacturer Master TDS & Grade CoAs; Pigment Concentration % (5%, 10%, 14%, 20% WS/OS); Color intensity (E 1% 1cm); pH stability range; Light & oxidation stability; Heavy metals & residual solvent limits.",Request Manufacturer Master TDS & Batch CoAs covering all 2 listed grades
REQ-028,Maltodextrine-Local-25kg,No,1,#256 Maltodextrine-Local-25kg,Beverages,Instant Drinks & Clouding,Instant RTD Mixes & Cloudy Beverages,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-029,Marjoram Oleoresin,No,1,#257 Marjoram Oleoresin 1001,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-030,MEAT FLAVOR S0843603,No,1,#258 MEAT FLAVOR S0843603,Meat & Poultry,Processed Meat,Emulsified Sausages & Restructured Meat,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-031,Meat Protein,No,1,#259 Meat Protein,Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Plant-Based Nuggets",Manufacturer Master TDS & Grade CoAs; Crude Protein Content % (dry basis); Amino Acid profile; Bulk density; Water hydration capacity; Ash & moisture %; Heavy metals.,Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-032,Non Dairy Creamer,No,1,#260 Non Dairy Creamer,Beverages,Instant Drinks & Clouding,Instant RTD Mixes & Cloudy Beverages,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-033,Parsley Oleoresin,Yes,3,#298 Parsley Oleoresin 1001; #299 Parsley Oleoresin 1002; #300 Parsley Oleoresin 1003,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 3 listed grades
REQ-034,PDI Salt-Local-50kg,No,1,#301 PDI Salt-Local-50kg,Meat & Poultry,Processed Meat,Emulsified Sausages & Restructured Meat,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-035,Potassium Citrate-25kg,No,1,#343 Potassium Citrate-25kg,Beverages,Carbonated Drinks,Cola / Carbonated Soft Drinks,"Manufacturer Master TDS & Grade CoAs; Chemical Purity % (min 99.5%); Water content (Anhydrous vs Monohydrate); Heavy metals (Pb, As, Hg); Clarity and color of solution; Food grade certificate.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-036,Potassium Sorbate,Yes,2,#344 Potassium Sorbate Granular-25kg; #345 Potassium Sorbate Powder-25kg,Beverages,Carbonated Drinks,Cola / Carbonated Soft Drinks,Manufacturer Master TDS & Grade CoAs; Active Assay % (min 99.0% dry basis); Physical form (Granular vs Powder vs Wuhan grade); Loss on drying (max 5%); Heavy metals (Pb < 2ppm); Water solubility; Food grade compliance certificate.,Request Manufacturer Master TDS & Batch CoAs covering all 2 listed grades
REQ-037,Sodium Acid Pyrophosphate (SAPP28)-25kg,No,1,#347 Sodium Acid Pyrophosphate (SAPP28)-25kg,Bakery,Cake & Bakery,Sponge Cake / Muffin Leavening,"Manufacturer Master TDS & Grade CoAs; Total Phosphate Content (as P2O5 %); pH of 1% solution; Water insolubles (max 0.1%); Fluoride (max 10 ppm); Heavy metals (Pb, As); Bulk density.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-038,Sodium Ascorbate China,No,1,#348 Sodium Ascorbate China,Meat & Poultry,Processed Meat,Emulsified Sausages & Restructured Meat,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-039,Sodium Benzoate,Yes,2,#349 Sodium Benzoate China-25kg; #350 Sodium Benzoate Wuhan-25kg,Beverages,Carbonated Drinks,Cola / Carbonated Soft Drinks,Manufacturer Master TDS & Grade CoAs; Active Assay % (min 99.0% dry basis); Physical form (Granular vs Powder vs Wuhan grade); Loss on drying (max 5%); Heavy metals (Pb < 2ppm); Water solubility; Food grade compliance certificate.,Request Manufacturer Master TDS & Batch CoAs covering all 2 listed grades
REQ-040,Sodium Citrate-25kg,No,1,#351 Sodium Citrate-25kg,Beverages,Carbonated Drinks,Cola / Carbonated Soft Drinks,"Manufacturer Master TDS & Grade CoAs; Chemical Purity % (min 99.5%); Water content (Anhydrous vs Monohydrate); Heavy metals (Pb, As, Hg); Clarity and color of solution; Food grade certificate.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-041,Sodium Diacetate-25kg,No,1,#352 Sodium Diacetate-25kg,Meat & Poultry,Processed Meat,Emulsified Sausages & Restructured Meat,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-042,Sodium Erythorbate China-25kg,No,1,#353 Sodium Erythorbate China-25kg,Meat & Poultry,Processed Meat,Emulsified Sausages & Restructured Meat,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-043,Sodium Hexametaphosphate (SHMP)-25kg,No,1,#354 Sodium Hexametaphosphate (SHMP)-25kg,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,"Manufacturer Master TDS & Grade CoAs; Total Phosphate Content (as P2O5 %); pH of 1% solution; Water insolubles (max 0.1%); Fluoride (max 10 ppm); Heavy metals (Pb, As); Bulk density.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-044,Sodium Lactate-25kg,No,1,#355 Sodium Lactate-25kg,Meat & Poultry,Processed Meat,Emulsified Sausages & Restructured Meat,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-045,Sodium Metabisulfite-25kg,No,1,#356 Sodium Metabisulfite-25kg,Meat & Poultry,Processed Meat,Emulsified Sausages & Restructured Meat,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-046,STPP Phosphates,No,1,#357 Sodium Tripolyphosphate (STPP)-25kg,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,"Manufacturer Master TDS & Grade CoAs; Total Phosphate Content (as P2O5 %); pH of 1% solution; Water insolubles (max 0.1%); Fluoride (max 10 ppm); Heavy metals (Pb, As); Bulk density.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-047,Sunset Yellow,No,1,#362 Sunset Yellow,Confectionery,Sugar Confectionery,Hard / Soft Candies,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-048,Transglutaminase (TG),No,1,#367 Transglutaminase (TG),Meat & Poultry,Processed Meat,Emulsified Sausages & Restructured Meat,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-049,Vegatable Carbon Black,No,1,#369 Vegatable Carbon Black,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Manufacturer Master TDS & Grade CoAs; Pigment Concentration % (5%, 10%, 14%, 20% WS/OS); Color intensity (E 1% 1cm); pH stability range; Light & oxidation stability; Heavy metals & residual solvent limits.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-050,Whey Protein Concentrate 80% (WPC 80),No,1,#370 Whey Protein Concentrate 80% (WPC 80),Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Plant-Based Nuggets",Manufacturer Master TDS & Grade CoAs; Crude Protein Content % (dry basis); Amino Acid profile; Bulk density; Water hydration capacity; Ash & moisture %; Heavy metals.,Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-051,Xanthan Gum,Yes,5,#371 Xanthan Gum (200 Mesh); #372 Xanthan Gum (80 Mesh); #373 Xanthan Gum Clear; #374 Xanthan Gum F80; #375 Xanthan Gum Transparent,"Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,"Manufacturer Master TDS & Grade CoAs; Viscosity (1% in 1% KCl, mPa.s / CPS); Granulometry / Mesh size (80 vs 200 Mesh vs Clear/Transparent); Loss on drying; Heavy metals; Total plate count & E. coli negative.",Request Manufacturer Master TDS & Batch CoAs covering all 5 listed grades
REQ-052,Yellow color W,No,1,#376 Yellow color W,Confectionery,Sugar Confectionery,Hard / Soft Candies,"Manufacturer Master TDS & Grade CoAs; Pigment Concentration % (5%, 10%, 14%, 20% WS/OS); Color intensity (E 1% 1cm); pH stability range; Light & oxidation stability; Heavy metals & residual solvent limits.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
