id,filename,application,type,company,dosage,shelf_life,concentration,ingredients,packaging,storage_conditions,allergens,appearance,description,brand,audit,recommendation
44,Phos B200-TDS.pdf,Dairy - Cheese,Emulsifying Salt Based On Phosphate,AWA Food Additives,approx. 2 - 3.5% calculated on processed raw material,2 years from date of production,pH-shift: +0.2/+0.4; Ion exchange capacity: Slight; Creaming action: Very strong; Buffering capacity: Medium strong; Moisture: Max 3%; pH (1% solution): 9.4 ± 0.3; P O: 59.7% ± 1,"Sodium diphosphate E450, Sodium polyphosphates E452",Paper sacks with polyethylene liner 25 Kg.,Should be stored under cool and dry conditions. (protect from humidity),None declared,White powder,"Emulsifying Salt Based On Phosphate, used in production of processed cheese.",Turkphos,,
45,Phos B250-TDS.pdf,Dairy - Cheese,Emulsifying Salt Based On Phosphate,AWA Food Additives,approx. 2.5 - 3%,2 years from date of production,pH: 6.8 ± 0.3; Moisture: Max 3%; Ion exchange capacity: Very strong; pH-shift: None; Creaming action: None; Buffering capacity: None,Sodium polyphosphates E452,"Paper sacks with polyethylene liner, 25 Kg","Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt Based On Phosphate, used in processed cheese.",Turkphos,,
46,Phos B300-TDS.pdf,Dairy - Cheese,Emulsifying Salt Based On Phosphate,AWA Food Additives,3 - 3.5% calculated on processed raw material,2 years from date of production,"pH-shift: -0.1/-0.2; Ion exchange capacity: Very strong; Buffering capacity: Slight; pH (1% solution): 7.4 ± 0.3; P O: 64% ± 1; Moisture: Max 3% ISO 9001, ISO 14001, ISO 45001, FSSC: V6","Sodium polyphosphates E452, Sodium orthophosphate E339",Paper sacks with polyethylene liner 25 Kg,"Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt Based On Phosphate, used in production of firm processed cheese block sliceable and cuttable elastic block cheese.",Turkphos,,
47,Phos B350-TDS.pdf,Bakery & snacks - Cake & Pastry,Emulsifying Salt,AWA Food Additives,3.5 - 4% calculated on processed raw material,2 years from date of production,pH (1% solution): 7.4 ± 0.3; P O: 61% ± 1; Moisture: Max 3%,"Sodium polyphosphates E452, Sodium diphosphate E450, Calcium phosphate E341, Sodium orthophosphate E339","Paper sacks with polyethylene liner, 25 Kg","Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt manufactured by Essential Elements for Food Perfection, used in meat products, cheese, bakery.",Turkphos,,
48,Phos CR116-TDS.pdf,Bakery & snacks - Cake & Pastry,Emulsifying Salt,AWA Food Additives,approx. 1.5 - 2% calculated on processed raw material,2 years from date of production,pH: 7.1 ± 0.3; pH shift: +0.1/+0.3; ion exchange capacity: Very strong; buffering capacity: Medium strong; moisture: Max 3%; p: 28.3% ±1,"Sodium polyphosphates E452, Sodium citrate E331","Paper sacks with polyethylene liner, 25 Kg","Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt manufactured by Essential Elements for Food Perfection, used in meat products, cheese, bakery.",Turkphos,,
49,Phos CR120-TDS.pdf,Dairy - Cheese,Stabilizer,AWA Food Additives,1.5 - 2% calculated on processed raw material,2 years from date of production,pH: 7.7 ± 0.3; P2O5: 61% ± 1; moisture: Max 3%; pH-shift: +0.1/+0.2; ion exchange capacity: Medium strong; creaming action: Slight; buffering capacity: Medium strong,"Sodium polyphosphates E452, Sodium orthohosphate E339",Paper sacks with polyethylene liner 25 Kg.,Should be stored under cool and dry conditions. (protect from humidity),None declared,White powder,"Stabilizer manufactured by Essential Elements for Food Perfection, used in cream cheese, (Thermized fresh cheese).",Turkphos,,
50,Phos KC12-TDS.pdf,Bakery & snacks - Cake & Pastry,Emulsifying Salt Based On Phosphate,AWA Food Additives,0.1 - 1% calculated on processed raw material,2 years from date of production,pH-shift: +0.1/+1.5; Ion exchange capacity: None; pH (1% solution): 11.5 : 12.5; P O: 41.2% ± 1; Moisture: Max 3%,Sodium orthophosphate E339,Paper sacks with polyethylene liner 25 Kg,"Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt Based On Phosphate, used in meat products, cheese, bakery.",Turkphos,,
51,Phos MSL400-TDS.pdf,Bakery & snacks - Cake & Pastry,Emulsifying Salt Based On Phosphate and Citrate,AWA Food Additives,approx. 2.5 - 3% calculated on processed raw material,2 years from date of production,pH-shift: +0.1/+0.2; Ion exchange capacity: Medium strong; Buffering capacity: Medium strong; Moisture: Max 3%; pH (1% solution): 6.9 ± 0.3; P O: 25.5% ±1,"Sodium Citrate E331, Sodium polyphosphates E452, Potassium Phosphates E340",Paper sacks with polyethylene liner 25 Kg,"Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt Based On Phosphate and Citrate manufactured by Phos, used in meat products, cheese, bakery.",Turkphos,,
52,Phos MSL440-TDS.pdf,Bakery & snacks - Cake & Pastry,Emulsifying Salt Based On Phosphate and Citrate,AWA Food Additives,approx. 2.5 - 3% calculated on processed raw material,2 years from date of production,pH: 8.5 ±0.3; pH shift: +0.3/+0.4; ion exchange capacity: Slight; buffering capacity: Very strong; moisture: Max 3%,"Sodium Citrate E331, Sodium orthophosphate E339, Sodium polyphosphates E452","Paper sacks with polyethylene liner, 25 Kg","Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt Based On Phosphate and Citrate manufactured by Phos, used in meat products, cheese, bakery.",Turkphos,,
53,Phos MSL500-TDS.pdf,Bakery & snacks - Cake & Pastry,Emulsifying Salt Based On Phosphate and Citrate,AWA Food Additives,2.5 - 3% calculated on processed raw material,2 years from date of production,pH: 8.9 ± 0.3; Moisture: Max 3%; P O: 31% ± 1,"Sodium orthophosphate E339, Sodium citrate E331, Sodium polyphosphates E452","Paper sacks with polyethylene liner, 25 Kg","Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt Based On Phosphate and Citrate manufactured by Phos, used in meat products, cheese, bakery.",Turkphos,,
54,Phos MU100-TDS.pdf,Bakery & snacks - Cake & Pastry,Modified Starch,AWA Food Additives,0.02 - 0.08% calculated in final product,2 years from date of production,pH (1% solution): 7.8 ± 0.3; Moisture: Max 3%; P O: 59.1% ± 1,"Sodium polyphosphates E452, Sodium orthophosphate E339, Sodium tripolyphosphate E451, Sodium diphosphate E450",Paper sacks with polyethylene liner 25 Kg,Should be stored under cool and dry conditions.,None declared,White powder,"Modified Starch manufactured by Essential Elements for Food Perfection, used in uHT milk, evaporated milk, UHT cream, meat products, cheese, bakery.",Turkphos,,
55,Phos MU200-TDS.pdf,Dairy - Dairy & Creamers,Phosphate Based Salts,AWA Food Additives,0.02-0.08% calculated in final product,2 years from date of production,pH (1% solution): 11.4 ±0.3; P O: 57% ± 1; Moisture: Max 3%; pH-shift: +0.2/+0.4; Calcium binding: Very strong; Buffering capacity: Very strong,"Sodium polyphosphates E452, Sodium orthohosphate E339",Paper sacks with polyethylene liner 25 Kg,Should be stored under cool and dry conditions,None declared,White powder,"Phosphate Based Salts manufactured by Essential Elements for Food Perfection, used in uHT milk, evaporated milk, and UHT cream.",Turkphos,,
56,Phos MU300-TDS.pdf,Dairy - Dairy & Creamers,Phosphate and Citrate Salts Used as Stabilizer,AWA Food Additives,0.02 to 0.08% calculated in final product,2 years from date of production,pH (1% solution): 11.3 ±0.3; P 2 O 5: 40.6% ± 1; Arsenic: Max. 1 ppm; Lead: Max. 1 ppm; Mercury: Max. 1 ppm; Cadmium: Max. 1 ppm,Sodium orthophosphate E339; Sodium polyphosphates E452; Sodium citrate E331,Paper sacks with polyethylene liner 25 Kg,Should be stored under cool and dry conditions. Protect from humidity.,None declared,White powder,"Phosphate and Citrate Salts Used as Stabilizer manufactured by Essential Elements for Food Perfection, used in uHT milk, evaporated milk, and UHT cream.",Turkphos,,
57,Phos SP101-TDS.pdf,Dairy - Cheese,Emulsifier,AWA Food Additives,2 - 3.5% calculated on processed raw material,2 years from date of production,pH (1% solution): 7 ±0.3; Moisture: Max 3%; P O: 63% ± 1,"Sodium diphosphate E450, Sodium polyphosphates E452",Paper sacks with polyethylene liner 25 Kg,"Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifier manufactured by Essential Elements, used in meat products, cheese.",Turkphos,,
